example_id,criterion_index,criterion_name,max_score,rater_id,score
169_c3,3,Clear and organized writing(2),2,rater3,0.5
309_def,0,Definition of Data Mining,4,rater3,1
309_kdd,1,KDD Process Steps,4,rater3,1
309_c2,2,Importance of Data Mining Marks=(4),4,rater3,1.5
309_ex,3,Example / Application,4,rater3,1.5
469_c0,0,Definition of Method Overloading,4,rater3,2
469_c1,1,Definition of Method Overriding,4,rater3,1
469_c2,2,Comparision,4,rater3,1
469_ex,3,Example / Application,4,rater3,1.5
106_c0,0,Defintion of climate and weather,2,rater3,1.5
106_c1,1,Name of the climate variables,2,rater3,1
106_c2,2,Hemato-biochemical changes in rohu due to an increase of temparature,2,rater3,1.2
475_c0,0,Definition of Method Overloading,4,rater3,3
475_c1,1,Definition of Method Overriding,4,rater3,3
475_c2,2,Comparision,4,rater3,2
475_ex,3,Example / Application,4,rater3,1.5
75_c0,0,Concept of Histogram Equalization,4,rater3,3
75_c1,1,Necessity of Histogram Equalization,4,rater3,2
75_c2,2,Concept of Histogram Matching,4,rater3,3.2
75_c3,3,Necessity of Histogram Matching,4,rater3,2.9
208_c0,0,Understanding of schema and instance (2),2,rater3,1.5
208_c1,1,Explanation of different types of keys with examples (4),4,rater3,1
208_c2,2,Correct identification of keys in given relation (2),2,rater3,1
208_c3,3,Clear and organized writing (2),2,rater3,1
351_c0,0,Understanding of Concept,4,rater3,3
351_c1,1,Step-by-Step Procedure,4,rater3,2
351_c2,2,Accuracy of Final Answer,4,rater3,2.5
351_c3,3,Clarity & Presentation,4,rater3,2
420_c0,0,Supervised Learning,2.5,rater3,2
420_c1,1,Unsupervised Learning,2.5,rater3,2.2
420_c2,2,Reinforcement Learning,2.5,rater3,2.3
420_c3,3,"Example, Overall Clarity & Structure",2.5,rater3,1.6
127_c0,0,Defintion of climate and weather,2,rater3,2
127_c1,1,Name of the climate variables,2,rater3,1
127_c2,2,Hemato-biochemical changes in rohu due to an increase of temparature,2,rater3,1.6
281_def,0,Definition of Data Mining,4,rater3,3
281_kdd,1,KDD Process Steps,4,rater3,2
281_c2,2,Importance of Data Mining Marks=(4),4,rater3,2
281_ex,3,Example / Application,4,rater3,2
259_c0,0,Identification of Layers (2 Marks),2,rater3,2
259_c1,1,Explanation of Layers with diagram (4 Marks),4,rater3,0
259_c2,2,Technical Accuracy (2 Marks),2,rater3,2
259_c3,3,Examples/Protocols(1 Mark),1,rater3,1
259_c4,4,Clarity & Organization (1 Mark),1,rater3,0.6
147_c0,0,Understanding of normalization and related problems(3),3,rater3,2
147_c1,1,Explanation of normal forms(3),3,rater3,1
147_c2,2,Use of example(2),2,rater3,1.2
147_c3,3,Clear and organized writing(2),2,rater3,1.6
392_c0,0,Understanding of Concept,4,rater3,3
392_c1,1,Step-by-Step Procedure,4,rater3,3.2
392_c2,2,Accuracy of Final Answer,4,rater3,2.5
392_c3,3,Clarity & Presentation,4,rater3,2.6
287_def,0,Definition of Data Mining,4,rater3,3
287_kdd,1,KDD Process Steps,4,rater3,3
287_c2,2,Importance of Data Mining Marks=(4),4,rater3,2
287_ex,3,Example / Application,4,rater3,1.2
161_c0,0,Understanding of normalization and related problems(3),3,rater3,2.6
161_c1,1,Explanation of normal forms(3),3,rater3,2
161_c2,2,Use of example(2),2,rater3,1.6
161_c3,3,Clear and organized writing(2),2,rater3,1.6
347_c0,0,Understanding of Concept,4,rater3,3
347_c1,1,Step-by-Step Procedure,4,rater3,3.6
347_c2,2,Accuracy of Final Answer,4,rater3,3.8
347_c3,3,Clarity & Presentation,4,rater3,2.15
443_c0,0,Supervised Learning,2.5,rater3,2
443_c1,1,Unsupervised Learning,2.5,rater3,2.2
443_c2,2,Reinforcement Learning,2.5,rater3,0
443_c3,3,"Example, Overall Clarity & Structure",2.5,rater3,2
150_c0,0,Understanding of normalization and related problems(3),3,rater3,2.9
150_c1,1,Explanation of normal forms(3),3,rater3,2
150_c2,2,Use of example(2),2,rater3,1
150_c3,3,Clear and organized writing(2),2,rater3,1
264_c0,0,Identification of Layers (2 Marks),2,rater3,2
264_c1,1,Explanation of Layers with diagram (4 Marks),4,rater3,0
264_c2,2,Technical Accuracy (2 Marks),2,rater3,1
264_c3,3,Examples/Protocols(1 Mark),1,rater3,0.9
264_c4,4,Clarity & Organization (1 Mark),1,rater3,1
298_def,0,Definition of Data Mining,4,rater3,3
298_kdd,1,KDD Process Steps,4,rater3,3
298_c2,2,Importance of Data Mining Marks=(4),4,rater3,3
298_ex,3,Example / Application,4,rater3,3.2
146_c0,0,Understanding of normalization and related problems(3),3,rater3,1.9
146_c1,1,Explanation of normal forms(3),3,rater3,2
146_c2,2,Use of example(2),2,rater3,1
146_c3,3,Clear and organized writing(2),2,rater3,0.3
395_c0,0,Understanding of Concept,4,rater3,3
395_c1,1,Step-by-Step Procedure,4,rater3,3.2
395_c2,2,Accuracy of Final Answer,4,rater3,2.3
395_c3,3,Clarity & Presentation,4,rater3,3.2
422_c0,0,Supervised Learning,2.5,rater3,2.4
422_c1,1,Unsupervised Learning,2.5,rater3,2
422_c2,2,Reinforcement Learning,2.5,rater3,2.3
422_c3,3,"Example, Overall Clarity & Structure",2.5,rater3,2
177_c0,0,Understanding of normalization and related problems(3),3,rater3,2
177_c1,1,Explanation of normal forms(3),3,rater3,1
177_c2,2,Use of example(2),2,rater3,1
177_c3,3,Clear and organized writing(2),2,rater3,1.6
316_def,0,Definition of Data Mining,4,rater3,3
316_kdd,1,KDD Process Steps,4,rater3,3
316_c2,2,Importance of Data Mining Marks=(4),4,rater3,2.3
316_ex,3,Example / Application,4,rater3,1
196_c0,0,Understanding of schema and instance (2),2,rater3,1
196_c1,1,Explanation of different types of keys with examples (4),4,rater3,3
196_c2,2,Correct identification of keys in given relation (2),2,rater3,1
196_c3,3,Clear and organized writing (2),2,rater3,1.6
